State - Place,Year,Population,LikithVinayaka - Rank
 MN - Duluth,1920,98917,88
 NY - Utica,1920,94156,89
 CT - Waterbury,1920,91715,90
 MA - Lynn,1920,99148,91
 NY - Schenectady,1920,88723,92
 NJ - Bayonne,1920,76754,93
 PA - Wilkes-Barre,1920,73833,94
 MA - Lawrence,1920,94270,95
 NH - Manchester,1920,78384,96
 MO - Saint Joseph,1920,77939,97
 PA - Harrisburg,1920,75917,98
 NY - Troy,1920,71996,99
 IA - Sioux City,1920,71227,100
 NY - New York City,1910,4766883,1
 CA - Los Angeles,1910,319198,2
 IL - Chicago,1910,2185283,3
 TX - Houston,1910,78800,4
 PA - Philadelphia,1910,1549008,5
 MI - Detroit,1910,465766,6
 TX - Dallas,1910,92104,7
 TX - San Antonio,1910,96614,8
 MD - Baltimore,1910,558485,9
 IN - Indianapolis,1910,233650,10
 CA - San Francisco,1910,416912,11
 FL - Jacksonville,1910,57699,12
 OH - Columbus,1910,181511,13
 WI - Milwaukee,1910,373857,14
 TN - Memphis,1910,131105,15
 DC - Washington,1910,331069,16
 MA - Boston,1910,670585,17
 WA - Seattle,1910,237194,18
 OH - Cleveland,1910,560663,19
 LA - New Orleans,1910,339075,20
 CO - Denver,1910,213381,21
 TX - Fort Worth,1910,73312,22
 OK - Oklahoma City,1910,64205,23
 OR - Portland,1910,207214,24
 MO - Kansas City,1910,248381,25
 MO - St. Louis,1910,687029,26
 GA - Atlanta,1910,154839,27
 CA - Oakland,1910,150174,28
 PA - Pittsburgh,1910,533905,29
 MN - Minneapolis,1910,301408,30
 OH - Cincinnati,1910,363591,31
 NE - Omaha,1910,124096,32
 OH - Toledo,1910,168497,33
 NY - Buffalo,1910,423715,34
 NJ - Newark,1910,347469,35
 MN - Saint Paul,1910,214744,36
 KY - Louisville,1910,223928,37
 AL - Birmingham,1910,132685,38
 VA - Norfolk,1910,67452,39
 NY - Rochester,1910,218149,40
 NJ - Jersey City,1910,267779,41
 OH - Akron,1910,69067,42
 VA - Richmond,1910,127628,43
 IA - Des Moines,1910,86368,44
 MI - Grand Rapids,1910,112571,45
 NY - Yonkers,1910,79803,46
 OH - Dayton,1910,116577,47
 WA - Spokane,1910,104402,48
 WA - Tacoma,1910,83743,49
 IN - Fort Wayne,1910,63933,50
 NY - Syracuse,1910,137249,51
 UT - Salt Lake City,1910,92777,52
 MA - Worcester,1910,145986,53
 KS - Kansas City,1910,82331,54
 RI - Providence,1910,224326,55
 MA - Springfield,1910,88926,56
 CT - Hartford,1910,98915,57
 CT - Bridgeport,1910,102054,58
 NJ - Paterson,1910,125600,59
 OH - Youngstown,1910,79066,60
 IN - Evansville,1910,69647,61
 TN - Nashville,1910,110364,62
 CT - New Haven,1910,133605,63
 PA - Erie,1910,66525,64
 IN - South Bend,1910,53684,65
 NY - Albany,1910,100253,66
 NJ - Trenton,1910,96815,67
 PA - Scranton,1910,129867,68
 NJ - Camden,1910,94538,69
 MA - Cambridge,1910,104839,70
 GA - Savannah,1910,65064,71
 NJ - Elizabeth,1910,73409,72
 MA - Fall River,1910,119295,73
 IL - Peoria,1910,66950,74
 DE - Wilmington,1910,87411,75
 PA - Reading,1910,96071,76
 MA - New Bedford,1910,96652,77
 MA - Somerville,1910,77236,78
 MA - Lowell,1910,106294,79
 MN - Duluth,1910,78466,80
 NY - Utica,1910,74419,81
 CT - Waterbury,1910,73141,82
 MA - Lynn,1910,89336,83
 NY - Schenectady,1910,72826,84
 NJ - Bayonne,1910,55545,85
 PA - Wilkes-Barre,1910,67105,86
 MA - Lawrence,1910,85892,87
 NH - Manchester,1910,70063,88
 MO - Saint Joseph,1910,77403,89
 PA - Harrisburg,1910,64186,90
 NY - Troy,1910,76813,91
 NJ - Hoboken,1910,70324,92
 SC - Charleston,1910,58833,93
 ME - Portland,1910,58571,94
 IL - East St. Louis,1910,58547,95
 IN - Terre Haute,1910,58157,96
 MA - Holyoke,1910,57730,97
 MA - Brockton,1910,56878,98
 PA - Johnstown,1910,55482,99
 NJ - Passaic,1910,54773,100
 NY - New York City,1900,3437202,1
 CA - Los Angeles,1900,102479,2
 IL - Chicago,1900,1698575,3
 TX - Houston,1900,44633,4
 PA - Philadelphia,1900,1293697,5
 MI - Detroit,1900,285704,6
 TX - Dallas,1900,42638,7
 TX - San Antonio,1900,53321,8
 MD - Baltimore,1900,508957,9
 IN - Indianapolis,1900,169164,10
 CA - San Francisco,1900,342782,11
 OH - Columbus,1900,125560,12
 WI - Milwaukee,1900,285315,13
 TN - Memphis,1900,102320,14
 DC - Washington,1900,278718,15
 MA - Boston,1900,560892,16
 WA - Seattle,1900,80671,17
 OH - Cleveland,1900,381768,18
 LA - New Orleans,1900,287104,19
 CO - Denver,1900,133859,20
 OR - Portland,1900,90426,21
 MO - Kansas City,1900,163752,22
 MO - St. Louis,1900,575238,23
 GA - Atlanta,1900,89872,24
 CA - Oakland,1900,66960,25
 PA - Pittsburgh,1900,321616,26
 MN - Minneapolis,1900,202718,27
 OH - Cincinnati,1900,325902,28
 NE - Omaha,1900,102555,29
 OH - Toledo,1900,131822,30
 NY - Buffalo,1900,352387,31
 NJ - Newark,1900,246070,32
 MN - Saint Paul,1900,163065,33
 KY - Louisville,1900,204731,34
 AL - Birmingham,1900,38415,35
 VA - Norfolk,1900,46624,36
 NY - Rochester,1900,162608,37
 NJ - Jersey City,1900,206433,38
 OH - Akron,1900,42728,39
 VA - Richmond,1900,85050,40
 AL - Mobile,1900,38469,41
 IA - Des Moines,1900,62139,42
 NE - Lincoln,1900,40169,43
 MI - Grand Rapids,1900,87565,44
 NY - Yonkers,1900,47931,45
 OH - Dayton,1900,85333,46
 AR - Little Rock,1900,38307,47
 IN - Fort Wayne,1900,45115,48
 NY - Syracuse,1900,108374,49
 UT - Salt Lake City,1900,53531,50
 MA - Worcester,1900,118421,51
 KS - Kansas City,1900,51418,52
 RI - Providence,1900,175597,53
 MA - Springfield,1900,62059,54
 CT - Hartford,1900,79850,55
 CT - Bridgeport,1900,70996,56
 NJ - Paterson,1900,105171,57
 OH - Youngstown,1900,44885,58
 IN - Evansville,1900,59007,59
 TN - Nashville,1900,80865,60
 CT - New Haven,1900,108027,61
 PA - Erie,1900,52733,62
 NY - Albany,1900,94151,63
 NJ - Trenton,1900,73307,64
 PA - Scranton,1900,102026,65
 NJ - Camden,1900,75935,66
 MA - Cambridge,1900,91886,67
 GA - Savannah,1900,54244,68
 NJ - Elizabeth,1900,52130,69
 MA - Fall River,1900,104863,70
 IL - Peoria,1900,56100,71
 DE - Wilmington,1900,76508,72
 PA - Reading,1900,78961,73
 MA - New Bedford,1900,62442,74
 MA - Somerville,1900,61643,75
 MA - Lowell,1900,94969,76
 MN - Duluth,1900,52969,77
 NY - Utica,1900,56383,78
 CT - Waterbury,1900,45859,79
 MA - Lynn,1900,68513,80
 PA - Wilkes-Barre,1900,51721,81
 MA - Lawrence,1900,62559,82
 NH - Manchester,1900,56987,83
 MO - Saint Joseph,1900,102979,84
 PA - Harrisburg,1900,50167,85
 NY - Troy,1900,60651,86
 NJ - Hoboken,1900,59364,87
 SC - Charleston,1900,55807,88
 ME - Portland,1900,50145,89
 MA - Holyoke,1900,45712,90
 MA - Brockton,1900,40063,91
 PA - Allegheny,1900,129896,92
 KY - Covington,1900,42938,93
 MI - Saginaw,1900,42345,94
 PA - Lancaster,1900,41459,95
 NY - Binghamton,1900,39647,96
 GA - Augusta,1900,39441,97
 RI - Pawtucket,1900,39231,98
 PA - Altoona,1900,38973,99
 VA/WV - Wheeling,1900,38878,100
 NY - New York City,1890,1515301,1
 CA - Los Angeles,1890,50395,2
 IL - Chicago,1890,1099850,3
 PA - Philadelphia,1890,1046964,4
 MI - Detroit,1890,205876,5
 TX - Dallas,1890,38067,6
 TX - San Antonio,1890,37673,7
 MD - Baltimore,1890,434439,8
 IN - Indianapolis,1890,105436,9
 CA - San Francisco,1890,298997,10
 OH - Columbus,1890,88150,11
 WI - Milwaukee,1890,204468,12
 TN - Memphis,1890,64495,13
 DC - Washington,1890,230392,14
 MA - Boston,1890,448477,15
 WA - Seattle,1890,42837,16
 OH - Cleveland,1890,261353,17
 LA - New Orleans,1890,242039,18
 CO - Denver,1890,106713,19
 OR - Portland,1890,46385,20
 MO - Kansas City,1890,132716,21
 MO - St. Louis,1890,451770,22
 GA - Atlanta,1890,65533,23
 CA - Oakland,1890,48682,24
 PA - Pittsburgh,1890,238617,25
 MN - Minneapolis,1890,164738,26
 OH - Cincinnati,1890,296908,27
 NE - Omaha,1890,140452,28
 OH - Toledo,1890,81434,29
 NY - Buffalo,1890,255664,30
 NJ - Newark,1890,181830,31
 MN - Saint Paul,1890,133156,32
 KY - Louisville,1890,161129,33
 VA - Norfolk,1890,34871,34
 NY - Rochester,1890,133896,35
 NJ - Jersey City,1890,163003,36
 VA - Richmond,1890,81388,37
 AL - Mobile,1890,31076,38
 IA - Des Moines,1890,50093,39
 NE - Lincoln,1890,55154,40
 MI - Grand Rapids,1890,60278,41
 NY - Yonkers,1890,32033,42
 OH - Dayton,1890,61220,43
 WA - Tacoma,1890,36006,44
 IN - Fort Wayne,1890,35393,45
 NY - Syracuse,1890,88143,46
 UT - Salt Lake City,1890,44843,47
 MA - Worcester,1890,84655,48
 KS - Kansas City,1890,38316,49
 RI - Providence,1890,132146,50
 MA - Springfield,1890,44179,51
 CT - Hartford,1890,53230,52
 CT - Bridgeport,1890,48866,53
 NJ - Paterson,1890,78347,54
 OH - Youngstown,1890,33220,55
 IN - Evansville,1890,50756,56
 TN - Nashville,1890,76168,57
 CT - New Haven,1890,86045,58
 PA - Erie,1890,40634,59
 NY - Albany,1890,94923,60
 NJ - Trenton,1890,57458,61
 PA - Scranton,1890,75215,62
 NJ - Camden,1890,58313,63
 MA - Cambridge,1890,70028,64
 GA - Savannah,1890,43189,65
 NJ - Elizabeth,1890,37764,66
 MA - Fall River,1890,74398,67
 IL - Peoria,1890,41024,68
 DE - Wilmington,1890,61431,69
 PA - Reading,1890,58661,70
 MA - New Bedford,1890,40733,71
 MA - Somerville,1890,40152,72
 MA - Lowell,1890,77696,73
 MN - Duluth,1890,33115,74
 NY - Utica,1890,44007,75
 MA - Lynn,1890,55727,76
 PA - Wilkes-Barre,1890,37718,77
 MA - Lawrence,1890,44654,78
 NH - Manchester,1890,44126,79
 MO - Saint Joseph,1890,52324,80
 PA - Harrisburg,1890,39385,81
 NY - Troy,1890,60956,82
 IA - Sioux City,1890,37806,83
 NJ - Hoboken,1890,43648,84
 SC - Charleston,1890,54955,85
 ME - Portland,1890,36425,86
 MA - Holyoke,1890,35637,87
 PA - Allegheny,1890,105287,88
 KY - Covington,1890,37371,89
 MI - Saginaw,1890,46322,90
 PA - Lancaster,1890,32011,91
 NY - Binghamton,1890,35005,92
 GA - Augusta,1890,33300,93
 VA/WV - Wheeling,1890,34522,94
 NY - Brooklyn,1890,806343,95
 OH - Springfield,1890,31895,96
 IL - Quincy,1890,31494,97
 KS - Topeka,1890,31007,98
 NY - Elmira,1890,30893,99
 MA - Salem,1890,30801,100
 NY - New York City,1880,1206299,1
 IL - Chicago,1880,503185,2
 PA - Philadelphia,1880,847170,3
 MI - Detroit,1880,116340,4
 TX - San Antonio,1880,20550,5
 MD - Baltimore,1880,332313,6
 IN - Indianapolis,1880,75056,7
 CA - San Francisco,1880,233959,8
 OH - Columbus,1880,51647,9
 WI - Milwaukee,1880,115587,10
 TN - Memphis,1880,33592,11
 DC - Washington,1880,147293,12
 MA - Boston,1880,362839,13
 OH - Cleveland,1880,160146,14
 LA - New Orleans,1880,216090,15
 CO - Denver,1880,35629,16
 MO - Kansas City,1880,55785,17
 MO - St. Louis,1880,350518,18
 GA - Atlanta,1880,37409,19
 CA - Oakland,1880,34555,20
 PA - Pittsburgh,1880,156389,21
 CA - Sacramento,1880,21420,22
 MN - Minneapolis,1880,46887,23
 OH - Cincinnati,1880,255139,24
 NE - Omaha,1880,30518,25
 OH - Toledo,1880,50137,26
 NY - Buffalo,1880,155134,27
 NJ - Newark,1880,136508,28
 MN - Saint Paul,1880,41473,29
 KY - Louisville,1880,123758,30
 VA - Norfolk,1880,21966,31
 NY - Rochester,1880,89366,32
 NJ - Jersey City,1880,120722,33
 VA - Richmond,1880,63600,34
 AL - Mobile,1880,29132,35
 IA - Des Moines,1880,22408,36
 MI - Grand Rapids,1880,32016,37
 OH - Dayton,1880,38678,38
 IN - Fort Wayne,1880,26880,39
 NY - Syracuse,1880,51792,40
 UT - Salt Lake City,1880,20768,41
 MA - Worcester,1880,58291,42
 RI - Providence,1880,104857,43
 MA - Springfield,1880,33340,44
 CT - Hartford,1880,42015,45
 CT - Bridgeport,1880,27643,46
 NJ - Paterson,1880,51031,47
 IN - Evansville,1880,29280,48
 TN - Nashville,1880,43350,49
 CT - New Haven,1880,62882,50
 PA - Erie,1880,27737,51
 NY - Albany,1880,90758,52
 NJ - Trenton,1880,29910,53
 PA - Scranton,1880,45850,54
 NJ - Camden,1880,41659,55
 MA - Cambridge,1880,52669,56
 GA - Savannah,1880,30709,57
 NJ - Elizabeth,1880,28229,58
 MA - Fall River,1880,48961,59
 IL - Peoria,1880,29259,60
 DE - Wilmington,1880,42478,61
 PA - Reading,1880,43278,62
 MA - New Bedford,1880,26845,63
 MA - Somerville,1880,24933,64
 MA - Lowell,1880,59475,65
 NY - Utica,1880,33914,66
 MA - Lynn,1880,38274,67
 PA - Wilkes-Barre,1880,23339,68
 MA - Lawrence,1880,39151,69
 NH - Manchester,1880,32630,70
 MO - Saint Joseph,1880,32431,71
 PA - Harrisburg,1880,30762,72
 NY - Troy,1880,56747,73
 NJ - Hoboken,1880,30999,74
 SC - Charleston,1880,49984,75
 ME - Portland,1880,33810,76
 IN - Terre Haute,1880,26042,77
 MA - Holyoke,1880,21915,78
 PA - Allegheny,1880,78682,79
 KY - Covington,1880,29720,80
 PA - Lancaster,1880,25769,81
 GA - Augusta,1880,21891,82
 VA/WV - Wheeling,1880,30737,83
 NY - Brooklyn,1880,566663,84
 OH - Springfield,1880,20730,85
 IL - Quincy,1880,27268,86
 NY - Elmira,1880,20541,87
 MA - Salem,1880,27563,88
 IA - Dubuque,1880,22254,89
 TX - Galveston,1880,22248,90
 NY - Auburn,1880,21924,91
 IA - Davenport,1880,21831,92
 MA - Chelsea,1880,21782,93
 VA - Petersburg,1880,21656,94
 MA - Taunton,1880,21213,95
 NY - Oswego,1880,21116,96
 MI - Bay City,1880,20693,97
 KY - Newport,1880,20433,98
 NY - Poughkeepsie,1880,20207,99
 IL - Springfield,1880,19743,100
 NY - New York City,1870,942292,1
 IL - Chicago,1870,298977,2
 PA - Philadelphia,1870,674022,3
 MI - Detroit,1870,79577,4
 MD - Baltimore,1870,267354,5
 IN - Indianapolis,1870,48244,6
 CA - San Francisco,1870,149473,7
 OH - Columbus,1870,31274,8
 WI - Milwaukee,1870,71440,9
 TN - Memphis,1870,40226,10
 DC - Washington,1870,109199,11
 MA - Boston,1870,250526,12
 OH - Cleveland,1870,92829,13
 LA - New Orleans,1870,191418,14
 MO - Kansas City,1870,32260,15
 MO - St. Louis,1870,310864,16
 GA - Atlanta,1870,21789,17
 PA - Pittsburgh,1870,86076,18
 CA - Sacramento,1870,16283,19
 OH - Cincinnati,1870,216239,20
 NE - Omaha,1870,16083,21
 OH - Toledo,1870,31584,22
 NY - Buffalo,1870,117714,23
 NJ - Newark,1870,105059,24
 MN - Saint Paul,1870,20030,25
 KY - Louisville,1870,100753,26
 VA - Norfolk,1870,19229,27
 NY - Rochester,1870,62386,28
 NJ - Jersey City,1870,82546,29
 VA - Richmond,1870,51038,30
 AL - Mobile,1870,32034,31
 MI - Grand Rapids,1870,16507,32
 OH - Dayton,1870,30473,33
 IN - Fort Wayne,1870,17718,34
 NY - Syracuse,1870,43051,35
 MA - Worcester,1870,41105,36
 RI - Providence,1870,68904,37
 MA - Springfield,1870,26703,38
 CT - Hartford,1870,37180,39
 CT - Bridgeport,1870,18969,40
 NJ - Paterson,1870,33579,41
 IN - Evansville,1870,21830,42
 TN - Nashville,1870,25865,43
 CT - New Haven,1870,50840,44
 PA - Erie,1870,19646,45
 NY - Albany,1870,69422,46
 NJ - Trenton,1870,22874,47
 PA - Scranton,1870,35092,48
 NJ - Camden,1870,20045,49
 MA - Cambridge,1870,39634,50
 GA - Savannah,1870,28235,51
 NJ - Elizabeth,1870,20832,52
 MA - Fall River,1870,26766,53
 IL - Peoria,1870,22849,54
 DE - Wilmington,1870,30841,55
 PA - Reading,1870,33930,56
 MA - New Bedford,1870,21320,57
 MA - Lowell,1870,40928,58
 NY - Utica,1870,28804,59
 MA - Lynn,1870,28233,60
 MA - Lawrence,1870,28921,61
 NH - Manchester,1870,23536,62
 MO - Saint Joseph,1870,19565,63
 PA - Harrisburg,1870,23104,64
 NY - Troy,1870,46465,65
 NJ - Hoboken,1870,20297,66
 SC - Charleston,1870,48956,67
 ME - Portland,1870,31413,68
 IN - Terre Haute,1870,16103,69
 PA - Allegheny,1870,53180,70
 KY - Covington,1870,24505,71
 PA - Lancaster,1870,20233,72
 GA - Augusta,1870,15389,73
 VA/WV - Wheeling,1870,19280,74
 NY - Brooklyn,1870,396099,75
 IL - Quincy,1870,24052,76
 NY - Elmira,1870,15863,77
 MA - Salem,1870,24117,78
 IA - Dubuque,1870,18434,79
 NY - Auburn,1870,17225,80
 IA - Davenport,1870,20038,81
 MA - Chelsea,1870,18547,82
 VA - Petersburg,1870,18950,83
 MA - Taunton,1870,18629,84
 NY - Oswego,1870,20910,85
 KY - Newport,1870,15087,86
 NY - Poughkeepsie,1870,20080,87
 IL - Springfield,1870,17364,88
 MA - Charlestown,1870,28323,89
 RI - North Providence,1870,20495,90
 ME - Bangor,1870,18289,91
 KS - Leavenworth,1870,17873,92
 NY - Newburgh,1870,17014,93
 CT - Norwich,1870,16653,94
 PA - Williamsport,1870,16030,95
 IN - New Albany,1870,15396,96
 MA - Gloucester,1870,15389,97
 NY - Cohoes,1870,15357,98
 NJ - New Brunswick,1870,15058,99
 IA - Burlington,1870,14930,100
 NY - New York City,1860,813669,1
 IL - Chicago,1860,112172,2
 PA - Philadelphia,1860,565529,3
 MI - Detroit,1860,45619,4
 MD - Baltimore,1860,212418,5
 IN - Indianapolis,1860,18611,6
 CA - San Francisco,1860,56802,7
 OH - Columbus,1860,18554,8
 WI - Milwaukee,1860,45246,9
 TN - Memphis,1860,22623,10
 DC - Washington,1860,61122,11
 MA - Boston,1860,177840,12
 OH - Cleveland,1860,43417,13
 LA - New Orleans,1860,168675,14
 MO - St. Louis,1860,160773,15
 GA - Atlanta,1860,9554,16
 PA - Pittsburgh,1860,49221,17
 CA - Sacramento,1860,13785,18
 OH - Cincinnati,1860,161044,19
 OH - Toledo,1860,13768,20
 NY - Buffalo,1860,81129,21
 NJ - Newark,1860,71941,22
 MN - Saint Paul,1860,10401,23
 KY - Louisville,1860,68033,24
 VA - Norfolk,1860,14620,25
 NY - Rochester,1860,48204,26
 NJ - Jersey City,1860,29226,27
 VA - Richmond,1860,37910,28
 AL - Mobile,1860,29258,29
 OH - Dayton,1860,20081,30
 GA - Columbus,1860,9621,31
 NY - Syracuse,1860,28119,32
 MA - Worcester,1860,24960,33
 RI - Providence,1860,50666,34
 MA - Springfield,1860,15199,35
 CT - Hartford,1860,26917,36
 CT - Bridgeport,1860,12106,37
 NJ - Paterson,1860,19586,38
 IN - Evansville,1860,11484,39
 TN - Nashville,1860,16988,40
 CT - New Haven,1860,39267,41
 NY - Albany,1860,62367,42
 NJ - Trenton,1860,17228,43
 NJ - Camden,1860,14358,44
 MA - Cambridge,1860,26060,45
 GA - Savannah,1860,22292,46
 NJ - Elizabeth,1860,11567,47
 MA - Fall River,1860,14026,48
 IL - Peoria,1860,14045,49
 DE - Wilmington,1860,21258,50
 PA - Reading,1860,23162,51
 MA - New Bedford,1860,22300,52
 MA - Lowell,1860,36827,53
 NY - Utica,1860,22529,54
 CT - Waterbury,1860,10004,55
 MA - Lynn,1860,19083,56
 NY - Schenectady,1860,9579,57
 MA - Lawrence,1860,17639,58
 NH - Manchester,1860,20107,59
 PA - Harrisburg,1860,13405,60
 NY - Troy,1860,39235,61
 NJ - Hoboken,1860,9662,62
 SC - Charleston,1860,40522,63
 ME - Portland,1860,26341,64
 PA - Allegheny,1860,28702,65
 KY - Covington,1860,16471,66
 PA - Lancaster,1860,17603,67
 GA - Augusta,1860,12493,68
 VA/WV - Wheeling,1860,14083,69
 NY - Brooklyn,1860,266661,70
 IL - Quincy,1860,13718,71
 MA - Salem,1860,22252,72
 IA - Dubuque,1860,13000,73
 NY - Auburn,1860,10986,74
 IA - Davenport,1860,11267,75
 MA - Chelsea,1860,13395,76
 VA - Petersburg,1860,18266,77
 MA - Taunton,1860,15376,78
 NY - Oswego,1860,16816,79
 KY - Newport,1860,10046,80
 NY - Poughkeepsie,1860,14726,81
 MA - Charlestown,1860,25065,82
 RI - North Providence,1860,11818,83
 ME - Bangor,1860,16407,84
 NY - Newburgh,1860,12578,85
 CT - Norwich,1860,14048,86
 IN - New Albany,1860,12647,87
 MA - Gloucester,1860,10904,88
 NJ - New Brunswick,1860,11256,89
 MA - Roxbury,1860,25137,90
 MA - Newburyport,1860,13401,91
 VA - Alexandria,1860,12652,92
 NH - Concord,1860,10896,93
 NY - Lockport,1860,10871,94
 RI - Newport,1860,10508,95
 CT - New London,1860,10115,96
 NH - Nashua,1860,10065,97
 MA - Haverhill,1860,9995,98
 MA - Dorchester,1860,9769,99
 NC - Wilmington,1860,9552,100
 NY - New York City,1850,515547,1
 IL - Chicago,1850,29963,2
 PA - Philadelphia,1850,121376,3
 MI - Detroit,1850,21019,4
 MD - Baltimore,1850,169054,5
 IN - Indianapolis,1850,8091,6
 OH - Columbus,1850,17882,7
 WI - Milwaukee,1850,20061,8
 TN - Memphis,1850,8841,9
 DC - Washington,1850,40001,10
 MA - Boston,1850,136881,11
 OH - Cleveland,1850,17034,12
 LA - New Orleans,1850,116375,13
 MO - St. Louis,1850,77860,14
 PA - Pittsburgh,1850,46601,15
 OH - Cincinnati,1850,115435,16
 NY - Buffalo,1850,42261,17
 NJ - Newark,1850,38894,18
 KY - Louisville,1850,43194,19
 VA - Norfolk,1850,14326,20
 NY - Rochester,1850,36403,21
 KY - Lexington,1850,8159,22
 VA - Richmond,1850,27570,23
 AL - Mobile,1850,20515,24
 AL - Montgomery,1850,8728,25
 OH - Dayton,1850,10977,26
 NY - Syracuse,1850,22271,27
 MA - Worcester,1850,17049,28
 RI - Providence,1850,41513,29
 MA - Springfield,1850,11766,30
 CT - Hartford,1850,13555,31
 NJ - Paterson,1850,11334,32
 TN - Nashville,1850,10165,33
 CT - New Haven,1850,20345,34
 NY - Albany,1850,50763,35
 NJ - Camden,1850,9479,36
 MA - Cambridge,1850,15215,37
 GA - Savannah,1850,15312,38
 MA - Fall River,1850,11524,39
 DE - Wilmington,1850,13979,40
 PA - Reading,1850,15743,41
 MA - New Bedford,1850,16443,42
 MA - Lowell,1850,33383,43
 NY - Utica,1850,17565,44
 MA - Lynn,1850,14257,45
 NY - Schenectady,1850,8921,46
 MA - Lawrence,1850,8282,47
 NH - Manchester,1850,13932,48
 PA - Harrisburg,1850,7834,49
 NY - Troy,1850,28785,50
 SC - Charleston,1850,42985,51
 ME - Portland,1850,20815,52
 PA - Allegheny,1850,21262,53
 KY - Covington,1850,9408,54
 PA - Lancaster,1850,12369,55
 GA - Augusta,1850,9448,56
 VA/WV - Wheeling,1850,11435,57
 NY - Brooklyn,1850,96838,58
 MA - Salem,1850,20264,59
 NY - Auburn,1850,9548,60
 VA - Petersburg,1850,14010,61
 MA - Taunton,1850,10441,62
 NY - Oswego,1850,12205,63
 NY - Poughkeepsie,1850,11511,64
 MA - Charlestown,1850,17216,65
 RI - North Providence,1850,7680,66
 ME - Bangor,1850,14432,67
 IN - New Albany,1850,8181,68
 MA - Gloucester,1850,7786,69
 MA - Roxbury,1850,18364,70
 MA - Newburyport,1850,9572,71
 VA - Alexandria,1850,8734,72
 NH - Concord,1850,8576,73
 RI - Newport,1850,9563,74
 CT - New London,1850,8991,75
 MA - Dorchester,1850,7969,76
 NC - Wilmington,1850,7264,77
 PA - Spring Garden District,1850,58894,78
 PA - Northern Liberties,1850,47223,79
 PA - Kensington,1850,46774,80
 PA - Southwark,1850,38799,81
 NY - Williamsburg,1850,30780,82
 PA - Moyamensing,1850,26979,83
 LA - Lafayette,1850,14190,84
 NH - Portsmouth,1850,9738,85
 VA - Portsmouth,1850,8626,86
 MA - Nantucket,1850,8452,87
 DC - Georgetown,1850,8366,88
MA - Chicopee,1850,8291,89
 ME - Augusta,1850,8225,90
 NH - Dover,1850,8196,91
 MA - Danvers,1850,8109,92
 VA - Lynchburg,1850,8071,93
 ME - Bath,1850,8020,94
 IN - Madison,1850,8012,95
 OH - Zanesville,1850,7929,96
 RI - Warwick,1850,7740,97
 NY - Watervliet,1850,7564,98
 PA - Pottsville,1850,7515,99
 PA - Easton,1850,7250,100
 NY - New York City,1840,312710,1
 IL - Chicago,1840,4470,2
 PA - Philadelphia,1840,93665,3
 MI - Detroit,1840,9102,4
 MD - Baltimore,1840,102313,5
 OH - Columbus,1840,6048,6
 DC - Washington,1840,23364,7
 MA - Boston,1840,93383,8
 OH - Cleveland,1840,6071,9
 LA - New Orleans,1840,102193,10
 MO - St. Louis,1840,16469,11
 PA - Pittsburgh,1840,21115,12
 OH - Cincinnati,1840,46338,13
 NY - Buffalo,1840,18213,14
 NJ - Newark,1840,17290,15
 KY - Louisville,1840,21210,16
 VA - Norfolk,1840,10920,17
 NY - Rochester,1840,20191,18
 KY - Lexington,1840,6997,19
 VA - Richmond,1840,20153,20
 AL - Mobile,1840,12672,21
 OH - Dayton,1840,6067,22
 MA - Worcester,1840,7497,23
 RI - Providence,1840,23171,24
 MA - Springfield,1840,10985,25
 CT - Hartford,1840,9468,26
 NJ - Paterson,1840,7596,27
 TN - Nashville,1840,6929,28
 CT - New Haven,1840,12960,29
 NY - Albany,1840,33721,30
 MA - Cambridge,1840,8409,31
 GA - Savannah,1840,11214,32
 MA - Fall River,1840,6738,33
 DE - Wilmington,1840,8367,34
 PA - Reading,1840,8410,35
 MA - New Bedford,1840,12087,36
 MA - Lowell,1840,20796,37
 NY - Utica,1840,12782,38
 MA - Lynn,1840,9367,39
 NY - Schenectady,1840,6784,40
 PA - Harrisburg,1840,5980,41
 NY - Troy,1840,19334,42
 SC - Charleston,1840,29261,43
 ME - Portland,1840,15218,44
 PA - Allegheny,1840,10089,45
 PA - Lancaster,1840,8417,46
 GA - Augusta,1840,6403,47
 VA/WV - Wheeling,1840,7885,48
 NY - Brooklyn,1840,36233,49
 MA - Salem,1840,15082,50
 NY - Auburn,1840,5626,51
 VA - Petersburg,1840,11136,52
 MA - Taunton,1840,7645,53
 MA - Charlestown,1840,11484,54
 ME - Bangor,1840,8627,55
 IN - New Albany,1840,4226,56
 MA - Gloucester,1840,6350,57
 MA - Roxbury,1840,9089,58
 MA - Newburyport,1840,7161,59
 VA - Alexandria,1840,8459,60
 NH - Concord,1840,4897,61
 RI - Newport,1840,8333,62
 CT - New London,1840,5519,63
 NH - Nashua,1840,6054,64
 MA - Haverhill,1840,4336,65
 MA - Dorchester,1840,4875,66
 NC - Wilmington,1840,5335,67
 PA - Spring Garden District,1840,27849,68
 PA - Northern Liberties,1840,34474,69
 PA - Kensington,1840,22314,70
 PA - Southwark,1840,27548,71
 PA - Moyamensing,1840,14573,72
 NH - Portsmouth,1840,7887,73
 VA - Portsmouth,1840,6477,74
 MA - Nantucket,1840,9012,75
 DC - Georgetown,1840,7312,76
 ME - Augusta,1840,5314,77
 NH - Dover,1840,6458,78
 MA - Danvers,1840,5020,79
